Ventana,PRODUCT,DMY,Fecha,Total_Boletas_DOI,DAYS_BEFORE_EVENT,SEAT_CATEGORY,Total_Boletas_Harry,Total_Boletas_fait,info_ventas_DOI_med,info_ventas_DOI_Cal,info_ventas_DOI_2017,info_ventas_be,CDT_30,Dolar,Quncena,dia
0,DISNEY ON ICE 100 AÑOS DE MAGIA,20230523,23 05 2023,0,104,3,122,4,1511,842,1236,8,0.116949931,4528.67,0,2
1,DISNEY ON ICE 100 AÑOS DE MAGIA,20230524,24 05 2023,1049,109,11,94,7,462,338,437,25,0.102231825,4501.81,0,3
2,DISNEY ON ICE 100 AÑOS DE MAGIA,20230525,25 05 2023,375,108,9,6,5,272,224,220,18,0.107256052,4448.93,0,4
3,DISNEY ON ICE 100 AÑOS DE MAGIA,20230526,26 05 2023,483,107,9,597,1,180,159,373,8,0.104906783,4470.83,0,5
4,DISNEY ON ICE 100 AÑOS DE MAGIA,20230527,27 05 2023,255,106,7,142,3,154,142,277,4,0.104906783,4461.66,0,6
5,DISNEY ON ICE 100 AÑOS DE MAGIA,20230528,28 05 2023,192,105,8,97,8,140,122,255,15,0.104906783,4461.66,0,7
6,DISNEY ON ICE 100 AÑOS DE MAGIA,20230529,29 05 2023,163,104,9,64,6,71,101,146,28,0.108880774,4461.66,0,1
7,DISNEY ON ICE 100 AÑOS DE MAGIA,20230530,30 05 2023,296,103,9,64,20,99,95,243,11,0.108334442,4461.66,1,2
8,DISNEY ON ICE 100 AÑOS DE MAGIA,20230531,31 05 2023,1734,102,9,55,7,148,142,198,12,0.104223203,4408.65,0,3
9,DISNEY ON ICE 100 AÑOS DE MAGIA,20230601,01 06 2023,733,101,10,48,49,62,120,200,4,0.106306175,4434.09,0,4
10,DISNEY ON ICE 100 AÑOS DE MAGIA,20230602,02 06 2023,363,100,9,40,56,33,51,610,21,0.105484129,4410.49,0,5
11,DISNEY ON ICE 100 AÑOS DE MAGIA,20230603,03 06 2023,260,99,9,28,64,29,19,574,21,0.105484129,4355.8,0,6
12,DISNEY ON ICE 100 AÑOS DE MAGIA,20230604,04 06 2023,149,98,8,58,430,51,36,286,23,0.105484129,4355.8,0,7
13,DISNEY ON ICE 100 AÑOS DE MAGIA,20230605,05 06 2023,334,97,9,20,22,39,32,351,36,0.124429464,4355.8,0,1
14,DISNEY ON ICE 100 AÑOS DE MAGIA,20230606,06 06 2023,302,96,8,43,36,71,75,499,27,0.137567963,4307.02,0,2
15,DISNEY ON ICE 100 AÑOS DE MAGIA,20230607,07 06 2023,164,95,8,42,43,286,94,484,56,0.136484846,4245,0,3
16,DISNEY ON ICE 100 AÑOS DE MAGIA,20230608,08 06 2023,192,94,7,23,10,92,76,784,0,0.133662027,4209.14,0,4
17,DISNEY ON ICE 100 AÑOS DE MAGIA,20230609,09 06 2023,133,93,9,41,9,69,356,2524,14,0.137956659,4179.98,0,5
18,DISNEY ON ICE 100 AÑOS DE MAGIA,20230610,10 06 2023,215,92,9,38,9,194,118,465,101,0.137956659,4173.66,0,6
19,DISNEY ON ICE 100 AÑOS DE MAGIA,20230611,11 06 2023,172,91,9,36,13,82,99,405,16,0.137956659,4173.66,0,7
20,DISNEY ON ICE 100 AÑOS DE MAGIA,20230612,12 06 2023,178,90,8,10,16,85,46,1371,9,0.137956659,4173.66,0,1
21,DISNEY ON ICE 100 AÑOS DE MAGIA,20230613,13 06 2023,272,89,9,11,8,78,58,404,16,0.138181343,4173.66,0,2
22,DISNEY ON ICE 100 AÑOS DE MAGIA,20230614,14 06 2023,299,88,9,42,2,93,218,278,10,0.135085652,4186.3,0,3
23,DISNEY ON ICE 100 AÑOS DE MAGIA,20230615,15 06 2023,352,87,9,34,2,56,50,220,28,0.134482663,4182.33,1,4
24,DISNEY ON ICE 100 AÑOS DE MAGIA,20230616,16 06 2023,268,86,9,33,20,26,330,257,6,0.13195833,4164.66,0,5
25,DISNEY ON ICE 100 AÑOS DE MAGIA,20230617,17 06 2023,266,85,8,25,2,56,76,265,23,0.13195833,4145.72,0,6
26,DISNEY ON ICE 100 AÑOS DE MAGIA,20230618,18 06 2023,248,84,9,12,4,83,88,412,17,0.13195833,4145.72,0,7
27,DISNEY ON ICE 100 AÑOS DE MAGIA,20230619,19 06 2023,184,83,7,12,8,80,66,242,6,0.13195833,4145.72,0,1
28,DISNEY ON ICE 100 AÑOS DE MAGIA,20230620,20 06 2023,230,82,8,8,9,84,104,188,37,0.137889775,4145.72,0,2
29,DISNEY ON ICE 100 AÑOS DE MAGIA,20230621,21 06 2023,207,81,8,29,27,53,96,212,134,0.139739758,4149.18,0,3
30,DISNEY ON ICE 100 AÑOS DE MAGIA,20230622,22 06 2023,171,80,8,19,6,278,304,165,139,0.133118524,4158.21,0,4
31,DISNEY ON ICE 100 AÑOS DE MAGIA,20230623,23 06 2023,146,78,8,20,3,198,87,214,112,0.133006922,4114.39,0,5
32,DISNEY ON ICE 100 AÑOS DE MAGIA,20230624,24 06 2023,170,78,7,14,8,55,71,292,115,0.133006922,4168.88,0,6
33,DISNEY ON ICE 100 AÑOS DE MAGIA,20230625,25 06 2023,167,76,7,42,5,27,74,161,69,0.133006922,4168.88,0,7
34,DISNEY ON ICE 100 AÑOS DE MAGIA,20230626,26 06 2023,235,76,8,15,5,31,19,199,128,0.133377704,4168.88,0,1
35,DISNEY ON ICE 100 AÑOS DE MAGIA,20230627,27 06 2023,221,75,8,17,2,78,31,178,64,0.131602607,4172.33,0,2
36,DISNEY ON ICE 100 AÑOS DE MAGIA,20230628,28 06 2023,193,74,6,40,21,214,97,118,73,0.135028575,4152.48,0,3
37,DISNEY ON ICE 100 AÑOS DE MAGIA,20230629,29 06 2023,324,73,8,17,3,80,71,142,93,0.136702713,4169.6,0,4
38,DISNEY ON ICE 100 AÑOS DE MAGIA,20230630,30 06 2023,247,72,8,25,31,225,73,95,49,0.139897117,4191.28,1,5
39,DISNEY ON ICE 100 AÑOS DE MAGIA,20230701,01 07 2023,128,71,8,23,1,158,62,136,43,0.139897117,4177.58,0,6
40,DISNEY ON ICE 100 AÑOS DE MAGIA,20230702,02 07 2023,87,69,6,29,8,96,94,200,83,0.139897117,4177.58,0,7
41,DISNEY ON ICE 100 AÑOS DE MAGIA,20230703,03 07 2023,183,69,8,22,1,104,100,105,68,0.139897117,4177.58,0,1
42,DISNEY ON ICE 100 AÑOS DE MAGIA,20230704,04 07 2023,142,68,7,503,6,1027,90,65,55,0.137306993,4177.58,0,2
43,DISNEY ON ICE 100 AÑOS DE MAGIA,20230705,05 07 2023,126,67,7,36,13,148,85,93,48,0.13886713,4177.58,0,3
44,DISNEY ON ICE 100 AÑOS DE MAGIA,20230706,06 07 2023,104,66,8,26,0,172,144,122,33,0.140744427,4128.08,0,4
45,DISNEY ON ICE 100 AÑOS DE MAGIA,20230707,07 07 2023,230,65,8,27,,153,121,126,14,0.13584769,4195.93,0,5
46,DISNEY ON ICE 100 AÑOS DE MAGIA,20230708,08 07 2023,197,64,7,37,,301,144,152,32,0.13584769,4189.96,0,6
47,DISNEY ON ICE 100 AÑOS DE MAGIA,20230709,09 07 2023,160,63,8,0,,239,149,169,13,0.13584769,4189.96,0,7
48,DISNEY ON ICE 100 AÑOS DE MAGIA,20230710,10 07 2023,168,62,7,41,,160,129,151,38,0.139212374,4189.96,0,1
49,DISNEY ON ICE 100 AÑOS DE MAGIA,20230711,11 07 2023,224,61,9,33,,179,127,1032,18,0.136596913,4154.06,0,2
50,DISNEY ON ICE 100 AÑOS DE MAGIA,20230712,12 07 2023,221,60,8,27,,237,111,481,37,0.139143522,4193.59,0,3
51,DISNEY ON ICE 100 AÑOS DE MAGIA,20230713,13 07 2023,228,59,9,20,,381,165,293,48,0.139682899,4128.67,0,4
52,DISNEY ON ICE 100 AÑOS DE MAGIA,20230714,14 07 2023,188,58,9,31,,342,129,198,10,0.133487591,4102.13,0,5
53,DISNEY ON ICE 100 AÑOS DE MAGIA,20230715,15 07 2023,313,57,9,46,,331,442,153,10,0.133487591,4089.3,1,6
54,DISNEY ON ICE 100 AÑOS DE MAGIA,20230716,16 07 2023,307,56,9,57,,175,133,138,34,0.133487591,4089.3,0,7
55,DISNEY ON ICE 100 AÑOS DE MAGIA,20230717,17 07 2023,397,55,12,154,,132,87,126,1,0.138272912,4089.3,0,1
56,DISNEY ON ICE 100 AÑOS DE MAGIA,20230718,18 07 2023,270,54,11,156,,138,82,116,47,0.137123275,4069.39,0,2
57,DISNEY ON ICE 100 AÑOS DE MAGIA,20230719,19 07 2023,295,53,13,0,,340,122,170,0,0.14090506,3991.15,0,3
58,DISNEY ON ICE 100 AÑOS DE MAGIA,20230720,20 07 2023,338,52,11,0,,244,218,90,,0.14090506,3980.2,0,4
59,DISNEY ON ICE 100 AÑOS DE MAGIA,20230721,21 07 2023,305,51,12,,,235,322,92,,0.142196438,3980.2,0,5
60,DISNEY ON ICE 100 AÑOS DE MAGIA,20230722,22 07 2023,253,50,12,,,195,214,153,,0.142196438,3971.38,0,6
61,DISNEY ON ICE 100 AÑOS DE MAGIA,20230723,23 07 2023,297,49,12,,,208,187,101,,0.142196438,3971.38,0,7
62,DISNEY ON ICE 100 AÑOS DE MAGIA,20230724,24 07 2023,245,48,9,,,141,136,283,,0.136988629,3971.38,0,1
63,DISNEY ON ICE 100 AÑOS DE MAGIA,20230725,25 07 2023,358,47,11,,,129,84,113,,0.136294064,3950.58,0,2
64,DISNEY ON ICE 100 AÑOS DE MAGIA,20230726,26 07 2023,360,46,13,,,162,130,76,,0.131929271,3978.83,0,3
65,DISNEY ON ICE 100 AÑOS DE MAGIA,20230727,27 07 2023,368,45,11,,,195,170,53,,0.139452416,3951.1,0,4
66,DISNEY ON ICE 100 AÑOS DE MAGIA,20230728,28 07 2023,430,44,12,,,317,255,116,,0.140350201,3932.04,0,5
67,DISNEY ON ICE 100 AÑOS DE MAGIA,20230729,29 07 2023,452,43,11,,,365,569,68,,0.140350201,3923.49,0,6
68,DISNEY ON ICE 100 AÑOS DE MAGIA,20230730,30 07 2023,437,42,12,,,275,274,92,,0.140350201,3923.49,1,7
69,DISNEY ON ICE 100 AÑOS DE MAGIA,20230731,31 07 2023,1781,41,12,,,209,222,101,,0.140427338,3923.49,0,1
70,DISNEY ON ICE 100 AÑOS DE MAGIA,20230801,01 08 2023,744,40,12,,,189,733,55,,0.132599257,3898.48,0,2
71,DISNEY ON ICE 100 AÑOS DE MAGIA,20230802,02 08 2023,443,39,12,,,430,428,86,,0.137889609,4007.44,0,3
72,DISNEY ON ICE 100 AÑOS DE MAGIA,20230803,03 08 2023,394,38,12,,,291,466,82,,0.133469228,4056.99,0,4
73,DISNEY ON ICE 100 AÑOS DE MAGIA,20230804,04 08 2023,324,37,12,,,257,488,79,,0.136946702,4144.79,0,5
74,DISNEY ON ICE 100 AÑOS DE MAGIA,20230805,05 08 2023,334,36,10,,,355,475,100,,0.136946702,4077.9,0,6
75,DISNEY ON ICE 100 AÑOS DE MAGIA,20230806,06 08 2023,294,35,12,,,252,366,104,,0.136946702,4077.9,0,7
76,DISNEY ON ICE 100 AÑOS DE MAGIA,20230807,07 08 2023,296,34,12,,,191,288,103,,0.136946702,4077.9,0,1
77,DISNEY ON ICE 100 AÑOS DE MAGIA,20230808,08 08 2023,242,33,11,,,184,318,393,,0.139695425,4077.9,0,2
78,DISNEY ON ICE 100 AÑOS DE MAGIA,20230809,09 08 2023,813,32,13,,,212,450,125,,0.139409243,4076.46,0,3
79,DISNEY ON ICE 100 AÑOS DE MAGIA,20230810,10 08 2023,612,31,11,,,255,719,201,,0.138620961,4031.65,0,4
80,DISNEY ON ICE 100 AÑOS DE MAGIA,20230811,11 08 2023,640,30,13,,,349,811,245,,0.139471682,3955.23,0,5
81,DISNEY ON ICE 100 AÑOS DE MAGIA,20230812,12 08 2023,633,29,13,,,390,1222,407,,0.139471682,3973.41,0,6
82,DISNEY ON ICE 100 AÑOS DE MAGIA,20230813,13 08 2023,654,28,13,,,469,3991,540,,0.139471682,3973.41,0,7
83,DISNEY ON ICE 100 AÑOS DE MAGIA,20230814,14 08 2023,2410,27,12,,,298,583,173,,0.138020151,3973.41,0,1
84,DISNEY ON ICE 100 AÑOS DE MAGIA,20230815,15 08 2023,915,26,12,,,391,948,133,,0.139023193,4029.95,1,2
85,DISNEY ON ICE 100 AÑOS DE MAGIA,20230816,16 08 2023,727,25,13,,,550,2696,78,,0.140372183,4096.08,0,3
86,DISNEY ON ICE 100 AÑOS DE MAGIA,20230817,17 08 2023,505,24,12,,,689,3512,107,,0.138798054,4130.33,0,4
87,DISNEY ON ICE 100 AÑOS DE MAGIA,20230818,18 08 2023,566,23,12,,,784,2471,122,,0.138798054,4093.96,0,5
88,DISNEY ON ICE 100 AÑOS DE MAGIA,20230819,19 08 2023,511,22,11,,,935,2650,144,,0.138798054,4124.04,0,6
89,DISNEY ON ICE 100 AÑOS DE MAGIA,20230820,20 08 2023,6,21,3,,,764,2649,136,,0.138798054,4124.04,0,7
